nomenclature,reporteriso3,productcode,reportername,partneriso3,partnername,year,tradeflowname,tradevaluein1000usd
H3,TZA,10110,Tanzania,ARE,United Arab Emirates,2011,Import,2.371
H3,TZA,10110,Tanzania,ETH,Ethiopia(excludes Eritrea),2011,Export,0.149
H3,TZA,10110,Tanzania,KEN,Kenya,2011,Export,0.325
H3,TZA,10110,Tanzania,KEN,Kenya,2011,Import,0.999
H3,TZA,10110,Tanzania,KOR,"Korea, Rep.",2011,Import,0.485
H3,TZA,10110,Tanzania,NLD,Netherlands,2011,Import,1.01
H3,TZA,10110,Tanzania,WLD,World,2011,Export,0.474
H3,TZA,10110,Tanzania,WLD,World,2011,Import,4.916
H3,TZA,10110,Tanzania,ZAF,South Africa,2011,Import,0.051
H3,TZA,10190,Tanzania,BWA,Botswana,2011,Export,1.538
H3,TZA,10190,Tanzania,KEN,Kenya,2011,Export,16.352
H3,TZA,10190,Tanzania,KEN,Kenya,2011,Import,12.086
H3,TZA,10190,Tanzania,WLD,World,2011,Export,17.89
H3,TZA,10190,Tanzania,WLD,World,2011,Import,16.204
H3,TZA,10190,Tanzania,ZAF,South Africa,2011,Import,4.118
H3,TZA,10210,Tanzania,BHR,Bahrain,2011,Export,6.063
H3,TZA,10210,Tanzania,GBR,United Kingdom,2011,Export,11.931
H3,TZA,10210,Tanzania,JPN,Japan,2011,Import,0.002
H3,TZA,10210,Tanzania,KEN,Kenya,2011,Export,0.994
H3,TZA,10210,Tanzania,KEN,Kenya,2011,Import,76.893
H3,TZA,10210,Tanzania,NLD,Netherlands,2011,Import,1.655
H3,TZA,10210,Tanzania,USA,United States,2011,Import,0.165
H3,TZA,10210,Tanzania,WLD,World,2011,Export,18.988
H3,TZA,10210,Tanzania,WLD,World,2011,Import,90.393
H3,TZA,10210,Tanzania,ZAF,South Africa,2011,Import,8.644
H3,TZA,10210,Tanzania,ZMB,Zambia,2011,Import,3.034
H3,TZA,10290,Tanzania,COM,Comoros,2011,Export,201.558
H3,TZA,10290,Tanzania,CZE,Czech Republic,2011,Import,60.356
H3,TZA,10290,Tanzania,KEN,Kenya,2011,Export,125.578
H3,TZA,10290,Tanzania,KEN,Kenya,2011,Import,3.118
H3,TZA,10290,Tanzania,MWI,Malawi,2011,Export,77.445
H3,TZA,10290,Tanzania,WLD,World,2011,Export,408.862
H3,TZA,10290,Tanzania,WLD,World,2011,Import,65.245
H3,TZA,10290,Tanzania,ZAF,South Africa,2011,Import,0.052
H3,TZA,10290,Tanzania,ZMB,Zambia,2011,Export,4.281
H3,TZA,10290,Tanzania,ZMB,Zambia,2011,Import,1.719
H3,TZA,10310,Tanzania,KEN,Kenya,2011,Import,3.731
H3,TZA,10310,Tanzania,WLD,World,2011,Import,8.157
H3,TZA,10310,Tanzania,ZAF,South Africa,2011,Import,4.426
H3,TZA,10392,Tanzania,MOZ,Mozambique,2011,Export,1.364
H3,TZA,10392,Tanzania,WLD,World,2011,Export,1.364
H3,TZA,10410,Tanzania,KEN,Kenya,2011,Import,2.998
H3,TZA,10410,Tanzania,WLD,World,2011,Import,2.998
H3,TZA,10420,Tanzania,COM,Comoros,2011,Export,4.989
H3,TZA,10420,Tanzania,WLD,World,2011,Export,4.989
H3,TZA,10420,Tanzania,WLD,World,2011,Import,0.029
H3,TZA,10420,Tanzania,ZAF,South Africa,2011,Import,0.029
H3,TZA,10511,Tanzania,FRA,France,2011,Import,338.526
H3,TZA,10511,Tanzania,KEN,Kenya,2011,Import,527.689
H3,TZA,10511,Tanzania,MOZ,Mozambique,2011,Export,1.845
H3,TZA,10511,Tanzania,MUS,Mauritius,2011,Import,63.107
H3,TZA,10511,Tanzania,MWI,Malawi,2011,Import,110.709
H3,TZA,10511,Tanzania,NLD,Netherlands,2011,Import,150.061
H3,TZA,10511,Tanzania,UGA,Uganda,2011,Export,4.891
H3,TZA,10511,Tanzania,UGA,Uganda,2011,Import,47.94
H3,TZA,10511,Tanzania,WLD,World,2011,Export,6.736
H3,TZA,10511,Tanzania,WLD,World,2011,Import,1285.48
H3,TZA,10511,Tanzania,ZAF,South Africa,2011,Import,34.664
H3,TZA,10511,Tanzania,ZWE,Zimbabwe,2011,Import,12.781
H3,TZA,10519,Tanzania,BHR,Bahrain,2011,Export,0.336
H3,TZA,10519,Tanzania,WLD,World,2011,Export,0.336
H3,TZA,10599,Tanzania,WLD,World,2011,Import,0.054
H3,TZA,10599,Tanzania,ZAF,South Africa,2011,Import,0.054
H3,TZA,10619,Tanzania,ARE,United Arab Emirates,2011,Export,10.609
H3,TZA,10619,Tanzania,ARM,Armenia,2011,Export,0.713
H3,TZA,10619,Tanzania,BHR,Bahrain,2011,Export,4.138
H3,TZA,10619,Tanzania,EGY,"Egypt, Arab Rep.",2011,Export,1.998
H3,TZA,10619,Tanzania,KEN,Kenya,2011,Import,0.325
H3,TZA,10619,Tanzania,NLD,Netherlands,2011,Export,3.895
H3,TZA,10619,Tanzania,PHL,Philippines,2011,Export,0.787
H3,TZA,10619,Tanzania,RWA,Rwanda,2011,Import,0.259
H3,TZA,10619,Tanzania,SAU,Saudi Arabia,2011,Export,17.426
H3,TZA,10619,Tanzania,SER,"Serbia, FR(Serbia/Montenegro)",2011,Export,2.018
H3,TZA,10619,Tanzania,USA,United States,2011,Export,0.101
H3,TZA,10619,Tanzania,WLD,World,2011,Export,41.739
H3,TZA,10619,Tanzania,WLD,World,2011,Import,1.717
H3,TZA,10619,Tanzania,ZAF,South Africa,2011,Export,0.054
H3,TZA,10619,Tanzania,ZAF,South Africa,2011,Import,1.133
H3,TZA,10620,Tanzania,DEU,Germany,2011,Export,1.612
H3,TZA,10620,Tanzania,ITA,Italy,2011,Export,0.937
H3,TZA,10620,Tanzania,PRY,Paraguay,2011,Export,0.571
H3,TZA,10620,Tanzania,USA,United States,2011,Export,1.571
H3,TZA,10620,Tanzania,WLD,World,2011,Export,4.691
H3,TZA,10632,Tanzania,WLD,World,2011,Import,0.699
H3,TZA,10632,Tanzania,ZAF,South Africa,2011,Import,0.699
H3,TZA,10639,Tanzania,BHR,Bahrain,2011,Export,3.007
H3,TZA,10639,Tanzania,CHN,China,2011,Export,36.449
H3,TZA,10639,Tanzania,SGP,Singapore,2011,Export,2.317
H3,TZA,10639,Tanzania,WLD,World,2011,Export,41.773
H3,TZA,10690,Tanzania,ARE,United Arab Emirates,2011,Import,0.014
H3,TZA,10690,Tanzania,BHR,Bahrain,2011,Export,2.796
H3,TZA,10690,Tanzania,DEU,Germany,2011,Export,14.473
H3,TZA,10690,Tanzania,GAB,Gabon,2011,Import,0.333
H3,TZA,10690,Tanzania,GBR,United Kingdom,2011,Import,2.026
H3,TZA,10690,Tanzania,KEN,Kenya,2011,Import,1.071
H3,TZA,10690,Tanzania,NLD,Netherlands,2011,Import,0.235
H3,TZA,10690,Tanzania,SER,"Serbia, FR(Serbia/Montenegro)",2011,Export,2.345
H3,TZA,10690,Tanzania,WLD,World,2011,Export,19.624
H3,TZA,10690,Tanzania,WLD,World,2011,Import,4.004
H3,TZA,10690,Tanzania,ZAF,South Africa,2011,Export,0.01
H3,TZA,10690,Tanzania,ZAF,South Africa,2011,Import,0.325
H3,TZA,20110,Tanzania,ARE,United Arab Emirates,2011,Import,3.987
H3,TZA,20110,Tanzania,CHN,China,2011,Import,0.12
H3,TZA,20110,Tanzania,WLD,World,2011,Import,4.107
