nomenclature,reporteriso3,productcode,reportername,partneriso3,partnername,year,tradeflowname,tradevaluein1000usd
H3,TZA,10110,Tanzania,CHN,China,2013,Export,1.165
H3,TZA,10110,Tanzania,CHN,China,2013,Import,5.894
H3,TZA,10110,Tanzania,GBR,United Kingdom,2013,Import,0.017
H3,TZA,10110,Tanzania,HKG,"Hong Kong, China",2013,Export,0.658
H3,TZA,10110,Tanzania,ITA,Italy,2013,Import,0.164
H3,TZA,10110,Tanzania,KEN,Kenya,2013,Import,1.81
H3,TZA,10110,Tanzania,WLD,World,2013,Export,3.013
H3,TZA,10110,Tanzania,WLD,World,2013,Import,15.608
H3,TZA,10110,Tanzania,ZAF,South Africa,2013,Import,4.884
H3,TZA,10110,Tanzania,ZMB,Zambia,2013,Export,1.19
H3,TZA,10110,Tanzania,ZWE,Zimbabwe,2013,Import,2.839
H3,TZA,10190,Tanzania,ARE,United Arab Emirates,2013,Export,2.675
H3,TZA,10190,Tanzania,BEL,Belgium,2013,Import,0.206
H3,TZA,10190,Tanzania,BWA,Botswana,2013,Export,4.002
H3,TZA,10190,Tanzania,CHN,China,2013,Export,0.915
H3,TZA,10190,Tanzania,CMR,Cameroon,2013,Export,0.051
H3,TZA,10190,Tanzania,ESP,Spain,2013,Import,11.193
H3,TZA,10190,Tanzania,HKG,"Hong Kong, China",2013,Export,4.471
H3,TZA,10190,Tanzania,IND,India,2013,Export,0.504
H3,TZA,10190,Tanzania,KEN,Kenya,2013,Export,2.196
H3,TZA,10190,Tanzania,KEN,Kenya,2013,Import,3.523
H3,TZA,10190,Tanzania,OMN,Oman,2013,Export,0.968
H3,TZA,10190,Tanzania,SUR,Suriname,2013,Export,0.815
H3,TZA,10190,Tanzania,SVN,Slovenia,2013,Export,0.968
H3,TZA,10190,Tanzania,UKR,Ukraine,2013,Export,1.02
H3,TZA,10190,Tanzania,USA,United States,2013,Export,0.502
H3,TZA,10190,Tanzania,WLD,World,2013,Export,19.188
H3,TZA,10190,Tanzania,WLD,World,2013,Import,40.653
H3,TZA,10190,Tanzania,ZAF,South Africa,2013,Export,0.101
H3,TZA,10190,Tanzania,ZAF,South Africa,2013,Import,25.731
H3,TZA,10210,Tanzania,KEN,Kenya,2013,Export,59.907
H3,TZA,10210,Tanzania,KEN,Kenya,2013,Import,79.253
H3,TZA,10210,Tanzania,USA,United States,2013,Export,0.153
H3,TZA,10210,Tanzania,WLD,World,2013,Export,60.06
H3,TZA,10210,Tanzania,WLD,World,2013,Import,79.253
H3,TZA,10290,Tanzania,ARE,United Arab Emirates,2013,Export,34.568
H3,TZA,10290,Tanzania,ATG,Antigua and Barbuda,2013,Export,0.702
H3,TZA,10290,Tanzania,AUS,Australia,2013,Export,0.468
H3,TZA,10290,Tanzania,BDI,Burundi,2013,Export,4.72
H3,TZA,10290,Tanzania,CAN,Canada,2013,Export,3.517
H3,TZA,10290,Tanzania,CHN,China,2013,Export,89.157
H3,TZA,10290,Tanzania,COM,Comoros,2013,Export,188.358
H3,TZA,10290,Tanzania,CZE,Czech Republic,2013,Export,3.093
H3,TZA,10290,Tanzania,DEU,Germany,2013,Export,28.931
H3,TZA,10290,Tanzania,ESP,Spain,2013,Export,6.101
H3,TZA,10290,Tanzania,ETH,Ethiopia(excludes Eritrea),2013,Export,14.307
H3,TZA,10290,Tanzania,FRA,France,2013,Export,6.597
H3,TZA,10290,Tanzania,GBR,United Kingdom,2013,Export,3.511
H3,TZA,10290,Tanzania,GIN,Guinea,2013,Export,0.406
H3,TZA,10290,Tanzania,HKG,"Hong Kong, China",2013,Export,61.951
H3,TZA,10290,Tanzania,IND,India,2013,Export,0.203
H3,TZA,10290,Tanzania,IND,India,2013,Import,0.152
H3,TZA,10290,Tanzania,IRL,Ireland,2013,Export,0.505
H3,TZA,10290,Tanzania,JOR,Jordan,2013,Export,0.153
H3,TZA,10290,Tanzania,JPN,Japan,2013,Export,7.686
H3,TZA,10290,Tanzania,KEN,Kenya,2013,Export,79.514
H3,TZA,10290,Tanzania,KEN,Kenya,2013,Import,18.997
H3,TZA,10290,Tanzania,KIR,Kiribati,2013,Export,0.875
H3,TZA,10290,Tanzania,KOR,"Korea, Rep.",2013,Export,1.142
H3,TZA,10290,Tanzania,KWT,Kuwait,2013,Export,5.31
H3,TZA,10290,Tanzania,LBY,Libya,2013,Export,0.958
H3,TZA,10290,Tanzania,MWI,Malawi,2013,Export,14.16
H3,TZA,10290,Tanzania,MYS,Malaysia,2013,Export,3.003
H3,TZA,10290,Tanzania,NLD,Netherlands,2013,Export,2.464
H3,TZA,10290,Tanzania,PHL,Philippines,2013,Export,0.101
H3,TZA,10290,Tanzania,POL,Poland,2013,Export,0.865
H3,TZA,10290,Tanzania,RUS,Russian Federation,2013,Export,0.212
H3,TZA,10290,Tanzania,SEN,Senegal,2013,Export,0.15
H3,TZA,10290,Tanzania,SER,"Serbia, FR(Serbia/Montenegro)",2013,Export,2.234
H3,TZA,10290,Tanzania,SGP,Singapore,2013,Export,43.18
H3,TZA,10290,Tanzania,SUD,Sudan,2013,Export,0.204
H3,TZA,10290,Tanzania,SVK,Slovak Republic,2013,Export,1.509
H3,TZA,10290,Tanzania,SVN,Slovenia,2013,Export,0.501
H3,TZA,10290,Tanzania,SWE,Sweden,2013,Export,0.204
H3,TZA,10290,Tanzania,SWZ,Swaziland,2013,Export,1.51
H3,TZA,10290,Tanzania,THA,Thailand,2013,Export,2.438
H3,TZA,10290,Tanzania,TUR,Turkey,2013,Export,3.143
H3,TZA,10290,Tanzania,UGA,Uganda,2013,Export,0.764
H3,TZA,10290,Tanzania,USA,United States,2013,Export,54.479
H3,TZA,10290,Tanzania,WLD,World,2013,Export,674.401
H3,TZA,10290,Tanzania,WLD,World,2013,Import,19.251
H3,TZA,10290,Tanzania,ZAF,South Africa,2013,Export,0.547
H3,TZA,10290,Tanzania,ZAF,South Africa,2013,Import,0.102
H3,TZA,10310,Tanzania,ARE,United Arab Emirates,2013,Import,0.037
H3,TZA,10310,Tanzania,HKG,"Hong Kong, China",2013,Export,0.305
H3,TZA,10310,Tanzania,WLD,World,2013,Export,0.356
H3,TZA,10310,Tanzania,WLD,World,2013,Import,0.037
H3,TZA,10310,Tanzania,ZAF,South Africa,2013,Export,0.051
H3,TZA,10410,Tanzania,KEN,Kenya,2013,Export,1.521
H3,TZA,10410,Tanzania,MWI,Malawi,2013,Export,0.051
H3,TZA,10410,Tanzania,WLD,World,2013,Export,1.572
H3,TZA,10420,Tanzania,COM,Comoros,2013,Export,154.361
H3,TZA,10420,Tanzania,KEN,Kenya,2013,Export,12.586
H3,TZA,10420,Tanzania,WLD,World,2013,Export,166.947
H3,TZA,10420,Tanzania,WLD,World,2013,Import,0.314
H3,TZA,10420,Tanzania,ZAF,South Africa,2013,Import,0.314
H3,TZA,10511,Tanzania,COM,Comoros,2013,Export,1.624
H3,TZA,10511,Tanzania,DEU,Germany,2013,Import,22.151
H3,TZA,10511,Tanzania,FRA,France,2013,Import,315.058
H3,TZA,10511,Tanzania,GBR,United Kingdom,2013,Import,2.182
H3,TZA,10511,Tanzania,KEN,Kenya,2013,Import,588.456
H3,TZA,10511,Tanzania,MUS,Mauritius,2013,Import,23.838
